/SiMCosta RJ-3 buoy 
/L1 data
/missing = NULL
/latitude = -22.983083
/longitude = -43.174472
/Sensor Mount = Buoy
/Ocean Sensors Orientation = Downward
/Ocean Sensors Average Measuring Depth = 0.5m
/Acknowledging or Crediting SiMCosta as Information Source : (Product or data name) courtesy of the Brazilian Coastal Monitoring System - SiMCosta  (www.simcosta.furg.br)
/Disclaimer: All products published on this website are not intended to be used for navigational or operational purposes.
/*Magnetic Declination Reference: Chulliat, A., S. Macmillan, P. Alken, C. Beggan, M. Nair, B. Hamilton, A. Woods, V. Ridley, S. Maus and A. Thomson, 2014. The US/UK World Magnetic Model for 2015-2020, NOAA National Geophysical Data Center, Boulder, CO, doi: 10.7289/V5TH8JNW 
/YEAR MONTH DAY HOUR MINUTE SECOND = Date/Time Data Acquisition (UTC)
/Hsig: Significant Wave Height (m)
/TP: Wave Peak Period (s)
YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Hsig,TP
2016,7,15,0,25,0,0.06,5.40
2016,7,15,1,25,0,0.08,3.80
2016,7,15,2,25,0,0.05,6.30
2016,7,15,3,25,0,0.09,6.30
2016,7,15,4,25,0,0.08,6.50
2016,7,15,5,25,0,0.10,6.30
2016,7,15,6,25,0,0.10,6.90
2016,7,15,7,25,0,0.10,6.70
2016,7,15,8,25,0,0.09,6.90
2016,7,15,9,25,0,0.10,6.70
2016,7,15,12,25,0,0.42,8.70
2016,7,15,13,25,0,0.74,10.50
2016,7,15,14,25,0,0.54,10.50
2016,7,15,15,25,0,0.58,10.50
2016,7,15,16,25,0,0.56,10.50
2016,7,15,17,25,0,0.61,10.00
2016,7,15,18,25,0,0.62,9.50
2016,7,15,19,25,0,0.56,9.50
2016,7,15,20,25,0,0.64,10.00
2016,7,15,21,25,0,0.65,9.50
2016,7,15,22,25,0,0.70,9.10
2016,7,15,23,25,0,0.61,9.10
2016,7,16,0,25,0,0.63,9.10
2016,7,16,1,25,0,0.61,10.50
2016,7,16,2,25,0,0.70,9.10
2016,7,16,3,25,0,0.61,9.50
2016,7,16,4,25,0,0.65,9.10
2016,7,16,5,25,0,0.59,11.10
2016,7,16,6,25,0,0.49,10.00
2016,7,16,7,25,0,0.56,10.50
2016,7,16,8,25,0,0.55,10.00
2016,7,16,9,25,0,0.55,10.50
2016,7,16,10,25,0,0.53,10.50
2016,7,16,11,25,0,0.53,10.50
2016,7,16,12,25,0,0.64,10.50
2016,7,16,13,25,0,0.52,10.50
2016,7,16,14,25,0,0.55,10.00
2016,7,16,15,25,0,0.85,10.00
2016,7,16,16,25,0,0.79,10.00
2016,7,16,17,25,0,0.76,9.50
2016,7,16,18,25,0,0.73,9.50
2016,7,16,19,25,0,0.67,9.10
2016,7,16,20,25,0,0.64,9.50
2016,7,16,21,25,0,0.62,8.30
2016,7,16,22,25,0,0.59,10.00
2016,7,16,23,25,0,0.64,9.50
2016,7,17,0,25,0,0.68,9.10
2016,7,17,1,25,0,0.88,4.90
2016,7,17,2,25,0,1.06,5.30
2016,7,17,3,25,0,1.18,5.10
2016,7,17,4,25,0,1.48,6.10
2016,7,17,5,25,0,1.94,7.10
2016,7,17,6,25,0,1.80,6.90
2016,7,17,7,25,0,1.92,7.70
2016,7,17,8,25,0,1.91,8.00
2016,7,17,9,25,0,1.77,8.30
2016,7,17,10,25,0,1.69,7.70
2016,7,17,11,25,0,1.61,8.70
2016,7,17,12,25,0,1.63,8.70
2016,7,17,13,25,0,1.80,9.10
2016,7,17,14,25,0,2.02,10.00
2016,7,17,15,25,0,2.20,10.50
2016,7,17,16,25,0,2.13,10.00
2016,7,17,17,25,0,2.42,10.50
2016,7,17,18,25,0,2.10,10.50
2016,7,17,19,25,0,2.20,10.50
2016,7,17,20,25,0,1.87,11.10
2016,7,17,21,25,0,1.98,11.80
2016,7,17,22,25,0,1.97,11.10
2016,7,17,23,25,0,1.92,11.10
2016,7,18,0,25,0,1.84,11.10
2016,7,18,1,25,0,2.18,11.10
2016,7,18,2,25,0,1.82,10.50
2016,7,18,3,25,0,1.91,10.50
2016,7,18,4,25,0,1.99,11.10
