x	EXP	NUM1
0.0285	-1.0784	3.1046
0.2991	-0.098	2.3076
0.3134	-0.0256	2.2549
0.5698	1.6013	1.2092
0.755	2.9085	0.7553
0.8832	3.5601	0.6863
0.9972	3.8889	0.8314
1.1966	3.9647	1.4052
1.3248	3.6928	1.8306
1.4957	2.8466	2.2549
1.5954	2.1242	2.3738
1.7379	0.7516	2.3708
1.8234	-0.2735	2.2549
1.8803	-0.8824	2.1169
2.0513	-2.3856	1.4278
2.094	-2.8177	1.2092
2.1937	-3.8889	0.6728
2.3077	-4.8543	0.0327
2.3932	-5.3922	-0.4486
2.5214	-5.9454	-1.1438
2.6638	-6.1111	-1.7898
2.8063	-5.5832	-2.0588
2.8917	-4.9346	-2.0052
3.0199	-3.4314	-1.7172
3.1054	-2.2173	-1.4052
3.1285	-1.8139	-1.2928
3.1824	-0.4963	-0.7792
3.1909	-0.3511	-0.6863
3.2764	0.8824	0.0631
3.3476	2.451	0.6863
3.433	4.085	1.6107
3.4758	4.7823	2.1895
3.5328	5.6536	3.0597
3.5755	6.2747	3.6928
3.6467	7.2222	4.6043
3.6895	7.7277	5.1307
3.8034	8.5556	6.634
3.8177	8.5948	6.8245
3.9459	8.4254	8.1373
4.0313	7.9412	8.6672
4.1738	6.4379	9.0616
4.188	6.2231	9.0523
4.245	5.1961	8.8765
4.3305	3.6275	8.2038
4.3732	2.8362	7.7451
4.416	1.9935	7.2878
4.4872	0.4248	6.4915
4.5014	0.1227	6.3072
4.5442	-0.7516	5.6409
4.5869	-1.5428	4.8039
4.6296	-2.3203	3.8834
4.6581	-2.974	3.2353
4.7009	-3.9542	2.2315
4.7293	-4.455	1.6013
4.7863	-5.5229	0.4248
4.8433	-6.2782	-0.6863
4.9003	-7.0915	-1.7052
4.9288	-7.355	-2.1895
5.0142	-8.2115	-3.7582
5.0427	-8.5294	-4.4325
5.0587	-8.6054	-4.7916
5.1095	-8.8526	-5.4167
5.1903	-9.1698	-6.2298
5.2849	-9.3137	-6.8624
5.3002	-9.2965	-6.9401
5.4169	-8.6128	-7.043
5.4701	-7.9412	-6.7971
5.5413	-6.8301	-6.3188
5.5675	-6.4252	-6.0884
5.6255	-5.5176	-5.1696
5.641	-5.2614	-4.9264
5.695	-4.285	-4.2432
5.7265	-3.6928	-3.8317
5.7848	-2.6195	-2.8433
5.812	-2.0588	-2.1816
5.8566	-0.8543	-1.0316
5.8689	-0.4902	-0.7948
5.9194	0.724	0.0183
5.9373	1.0682	0.4593
5.9777	1.7729	1.6241
6.036	2.921	2.9363
6.045	3.1528	3.1269
6.1033	4.7865	4.5063
6.1168	5.0621	4.8556
6.1662	5.8194	5.9268
6.2424	6.7503	7.0058
6.2821	7.3097	7.4837
6.3053	7.6561	7.7526
6.4245	8.268	8.731
6.4672	8.1919	8.8562
6.6524	7.2222	8.3029
6.6952	6.8575	8.0065
6.7949	5.719	7.0404
6.8376	5.1307	6.5033
6.9516	3.5621	5
7.0513	1.9935	3.4967
7.151	0.4854	1.9281
7.2222	-0.5556	0.8518
7.2507	-0.9606	0.4248
7.3362	-2.1242	-0.8653
7.3504	-2.3161	-1.0784
7.4501	-3.6275	-2.4716
7.4644	-3.8057	-2.6471
7.5926	-5.3028	-4.085
7.5975	-5.3549	-4.1425
7.7208	-6.2923	-5.5229
7.7231	-6.3019	-5.544
7.8936	-6.6312	-6.7639
7.906	-6.6321	-6.8301
8.0199	-6.5033	-7.1458
8.0445	-6.5363	-7.1313
8.1	-6.4666	-7.036
8.1718	-5.7254	-6.8317
8.1909	-5.595	-6.7647
8.2932	-5.0009	-6.2235
8.3423	-4.6549	-5.4733
8.3476	-4.5999	-5.3922
8.3692	-3.8314	-5.0825
8.4615	-3.0722	-3.8889
8.4769	-2.9256	-3.6943
8.5397	-1.6904	-2.7273
8.5613	-1.1915	-2.3203
8.6025	-0.4963	-1.4914
8.6923	0.6977	0.427
8.7179	1.1369	1.0131
8.7749	1.9457	2.5817
8.782	2.0152	2.7677
8.8462	2.499	4.1503
8.9256	3.0858	5.66
8.9316	3.1495	5.7843
9.0028	4.2398	7.3529
9.0064	4.2798	7.4203
9.1026	5.0944	8.9216
9.1453	5.3922	9.4819
9.2593	5.8683	10.2941
9.2666	5.8856	10.3123
9.4302	6.0458	10.1187
9.4872	5.7812	9.8366
9.5807	5.3915	8.9925
9.6296	5.188	8.3333
9.6866	5	7.5278
9.7293	4.5968	6.8301
9.7856	4.0817	5.5782
9.8433	3.5621	4.7784
9.8761	3.2304	4.2814
9.9326	2.5822	2.9067
9.9576	2.2211	2.491
10.0114	0.9035	1.722
10.0344	0.6879	1.3763
10.1135	0.1008	-0.1541
10.1281	-0.0435	-0.4377
10.1813	-0.6914	-1.1397
10.2717	-2.1022	-1.942
10.2718	-2.1043	-1.9437
10.3134	-2.8139	-3.1046
10.3165	-2.8433	-3.1739
10.4131	-3.6967	-4.6078
10.4691	-4.2432	-5.3023
10.5271	-4.9152	-6.0458
10.5698	-5.5882	-6.6329
10.6553	-6.12	-7.549
10.7692	-6.8954	-8.3118
10.8974	-6.8819	-8.6601
10.8998	-6.8783	-8.6601
11.0399	-6.3725	-8.1698
11.1111	-5.8976	-7.549
11.1421	-5.6431	-7.1725
11.2108	-4.992	-5.9804
11.2963	-3.9253	-4.4771
11.3037	-3.7903	-4.3446
11.3306	-2.3904	-3.8441
11.3818	-1.582	-2.8431
11.4293	-0.9905	-1.8538
11.453	-0.66	-1.2745
11.51	0.2844	0.3595
11.5101	0.2859	0.3615
11.5639	1.0682	1.5069
11.5812	1.2681	1.9281
11.6239	1.7313	3.4967
11.6382	1.8627	3.8813
11.6952	2.7652	5.1307
11.7379	3.4314	6.0972
11.7664	3.8407	6.6993
11.8331	4.7739	7.8068
11.8661	5.1818	8.268
11.9318	5.6797	9.06
12.037	6.1168	9.6405
12.0513	6.1765	9.6385
12.21	6.1326	8.7205
12.2365	6.0924	8.4641
12.3647	5.7843	6.8954
12.4644	4.9946	5.3922
12.4792	4.8975	5.1625
12.4929	4.8119	4.9346
12.5926	4.2177	3.366
12.6228	3.9916	2.946
12.6587	3.2916	2.4767
12.7066	2.8556	1.8627
12.7208	2.7778	1.6747
12.8023	1.7271	0.5896
12.8205	1.5221	0.3595
12.849	1.2745	0.0149
12.9189	0.2036	-0.7956
12.9487	-0.1456	-1.1438
12.9997	-0.8258	-1.7733
13.0266	-1.7316	-2.1304
13.0627	-2.0781	-2.6471
13.1481	-2.6471	-4.0034
13.1624	-2.8247	-4.2157
13.2764	-4.1503	-5.7843
13.3761	-5.1073	-7.2876
13.4046	-5.3922	-7.6371
13.5022	-5.9313	-8.649
13.5185	-6.012	-8.7908
13.6241	-6.5139	-9.362
13.6325	-6.5686	-9.3921
13.7749	-6.1789	-9.5098
13.7895	-6.1372	-9.4418
13.9031	-5.7843	-8.324
13.9174	-5.5638	-8.1373
14.0138	-4.3667	-6.6964
14.0171	-4.3329	-6.634
14.0883	-3.7007	-5.0654
