x	EXP	NUM
0.0287	2.44	0.81
0.3871	4.04	0.78
0.7455	2.15	4.01
0.8602	1.29	5.63
1.19	-2.21	3.97
1.3047	-4.18	2.63
1.5341	-14.55	-2.57
1.6344	-18.86	-6.26
1.8495	-22.71	-15.62
2.1649	-25.26	-27.05
2.2796	-25.43	-30.07
2.4268	-20.5	-32.23
2.509	-19.04	-31.96
2.6093	-17.31	-29.23
2.7966	-8.25	-15.44
2.81	-7.52	-14.07
2.9275	-0.5	-0.76
3.1254	17.11	26.62
3.1494	19.52	30.51
3.2975	35.75	62.44
3.303	36.31	63.98
3.4122	47.35	99.89
3.4265	49.4	105.46
3.4964	67.96	133.14
3.5125	76.91	138.96
3.5249	79.6	143.23
3.5986	78.7	165.72
3.6416	74.02	176.41
3.6614	69.89	180.39
3.707	60.19	185.93
3.7468	65.08	186.87
3.7695	70.53	186.45
3.7993	81.94	184.98
3.8208	87.33	183.13
3.871	88.5	174.77
3.8833	87.32	171.27
3.957	67.27	135.67
4.0199	47.24	101.74
4.0287	47	96.58
4.086	48.4	57.48
4.129	48.98	28.17
4.1621	47.23	-3.77
4.172	46.01	-12.55
4.2437	23.55	-66.31
4.2532	18.13	-73.1
4.2724	3.72	-86.96
4.3011	-7.18	-107.03
4.3385	-17.42	-130.94
4.3613	-21.78	-144.1
4.4239	-29.8	-175.78
4.4301	-30.49	-178.8
4.5018	-40.34	-199.88
4.5161	-43.53	-201.05
4.5718	-62.68	-201.35
4.623	-73.11	-197.77
4.6595	-79.37	-191.9
4.7025	-86.97	-178.72
4.714	-87.9	-174.77
4.7709	-88.55	-155.21
4.7994	-95.67	-145.57
4.8172	-96.67	-139.64
4.8449	-93.73	-130.68
4.9018	-84.29	-109.25
4.9032	-84.28	-108.58
4.9892	-89.17	-66.74
4.9928	-89.06	-65.3
5.0896	-80.48	-40.32
5.1351	-75.01	-30.12
5.1919	-68.55	-18.19
5.2473	-63.13	-8.36
5.2616	-62.47	-6.13
5.4138	-55.64	11.98
5.448	-46.6	15.22
5.491	-38.72	19.07
5.5197	-34.75	21.54
5.5675	-29.15	25.54
5.6813	-17.53	35.48
5.7061	-11.05	37.92
5.7778	-3.17	45.95
5.8235	2.49	52
5.9259	25.75	67.73
5.9714	52.9	75.59
5.9785	55.03	76.87
6.0072	62.07	85.02
6.108	80.03	109.45
6.1505	85.86	119.21
6.1933	92.31	128.7
6.273	116.86	143
6.2844	147.24	144.54
6.3082	168.05	147.34
6.3299	186.66	149.38
6.3656	196.08	151.76
6.3811	197.64	152.44
6.4373	190.84	153.48
6.4721	168.55	153.19
6.5806	177.8	148.13
6.6314	185.34	142.88
6.638	189.6	141.97
6.6656	197.62	137.09
6.7338	171.76	107.52
6.7384	169.14	104.5
6.768	146.55	87.18
6.7964	118.11	71.68
6.8078	79.33	65.12
6.81	77.44	63.78
6.859	61.87	29.22
6.8674	59.92	23.06
6.8817	52.37	13.01
6.9045	36.02	-2.3
6.9247	30.45	-16.04
6.9614	23.08	-42.47
6.9821	18.11	-56.76
