x	EXP	NUM
0.0214	1682.46	1595.65
0.0351	1683.01	1594.79
0.3661	1699.89	1582.23
0.3939	1701.91	1583
0.6956	1722.26	1612.13
0.7252	1723.16	1614.55
1.0403	1713.52	1623.72
1.0697	1711.38	1623.58
1.3992	1676.29	1611.93
1.3997	1676.21	1611.89
1.6864	1623.53	1575.44
1.729	1615.45	1565.08
1.8154	1597.2	1536.71
1.9156	1565.02	1492.79
1.9723	1553.43	1465.66
2.2012	1516.39	1360.4
2.2311	1512.34	1346.16
2.4445	1491.4	1260.97
2.5611	1488.86	1234.62
2.7743	1506.01	1219.97
2.8917	1529.67	1238.77
3.0334	1572.75	1301.71
3.1508	1617.26	1398.82
3.1924	1639.7	1436.08
3.1941	1640.63	1437.41
3.337	1714.74	1558.77
3.4103	1751.6	1649
3.5546	1824.25	1845.07
3.6698	1885.94	1984.52
3.6706	1886.39	1985.29
3.8153	1969.98	2119.66
3.8717	1996.92	2171.74
3.965	1991.05	2225.47
4.0028	1986.23	2230.65
4.0727	1993.94	2218.17
4.1733	2008.52	2170.18
4.2317	1979.03	2131.23
4.3162	1926.66	2053.47
4.3599	1908.91	1996.78
4.4165	1891.57	1918.86
4.516	1827.85	1774.65
4.545	1800.94	1728.31
4.6011	1734.04	1634.37
4.6516	1669.42	1563.32
4.7004	1622.14	1494.08
4.7371	1593.42	1434.28
4.7855	1556.64	1353.8
4.8014	1546.65	1330.14
4.8992	1488	1213.5
4.9228	1470.64	1191.2
4.9582	1412.19	1159.82
5.0418	1338.85	1084.89
5.0652	1321.57	1061.34
5.1152	1295.26	1014.68
5.201	1251.4	966.16
5.2131	1243.69	962.11
5.3225	1178.31	942.84
5.473	1154.89	951.3
5.5146	1155.82	962.02
5.6814	1178.21	1073.79
5.6878	1180.07	1078.86
5.8112	1245.38	1185.32
5.8324	1261.4	1213.23
5.9124	1341.78	1330.55
6.1014	1572.43	1628.09
6.1082	1581.33	1638.32
6.1521	1641.47	1686.51
6.1959	1706.34	1785.85
6.2026	1715.72	1799.5
6.2468	1774.21	1858.89
6.2969	1841.34	1887.54
6.2973	1841.87	1888.09
6.3266	1887.49	1969.9
6.3553	1958.21	2010.2
6.3918	2040.02	2049.1
6.4352	2058.54	2080.91
6.4926	2078.14	2080.9
6.4931	2078.31	2145.18
6.544	2096.51	2224.06
