x	EXP	NUM
0.016	-0.00314	0.00084
0.0406	0.00165	0.00086
0.0676	0.00661	0.00088
0.2211	0.01156	0.00094
0.3745	0.0066	0.00082
0.3747	0.0066	0.00082
0.5283	0.00659	0.00064
0.6547	0.01072	0.00125
0.7187	0.01097	0.00212
0.9438	0.00823	0.00785
1.0483	0.00449	0.00998
1.1336	0.00243	0.01062
1.2777	0.00997	0.00964
1.3925	0.00922	0.00734
1.6077	0.00208	0.00017
1.6795	-0.0011	-0.00317
1.8231	-0.00808	-0.01104
2.0097	-0.01761	-0.01734
2.1389	-0.02398	-0.02286
2.2825	-0.03205	-0.03244
2.4118	-0.04066	-0.04386
2.4691	-0.04124	-0.04903
2.656	-0.03326	-0.06355
2.7556	-0.02814	-0.06796
2.8855	-0.02286	-0.0675
3.0708	-0.01503	-0.05788
3.1576	-0.00973	-0.05046
3.3291	0.0035	-0.02422
3.3428	0.00464	-0.02154
3.4718	0.0178	0.00594
3.4729	0.01804	0.00624
3.5539	0.03126	0.03118
3.5572	0.03144	0.03218
3.6713	0.03543	0.06235
3.7853	0.03855	0.09252
3.7886	0.03869	0.09339
3.858	0.04922	0.10933
3.9567	0.05954	0.12137
4.1013	0.0702	0.12447
4.2292	0.07273	0.11874
4.2667	0.0709	0.11492
4.3573	0.05932	0.0981
4.3876	0.05254	0.08987
4.4571	0.04114	0.06972
4.4887	0.03773	0.05969
4.561	0.03095	0.03345
4.6477	0.02204	0.00327
4.6617	0.02033	-0.00196
4.7345	0.00901	-0.02822
4.8201	-0.00985	-0.05105
4.8499	-0.01758	-0.0584
4.9354	-0.03872	-0.07993
4.9652	-0.04472	-0.08726
5.0228	-0.0552	-0.09907
5.0938	-0.06759	-0.11239
5.2098	-0.08703	-0.12401
5.2809	-0.09515	-0.12585
5.4539	-0.09692	-0.12116
5.5251	-0.09637	-0.11615
5.5963	-0.09516	-0.10888
5.7337	-0.08634	-0.08867
5.7607	-0.08371	-0.08463
5.8539	-0.07203	-0.07025
5.9048	-0.06305	-0.05878
5.968	-0.04745	-0.04139
6.0036	-0.03992	-0.03052
6.0677	-0.02974	-0.01122
6.1476	-0.01596	0.00995
6.1817	-0.0013	0.01895
6.1922	0.00966	0.02182
6.2638	0.04024	0.04134
6.2957	0.04711	0.04912
6.4257	0.06916	0.07545
6.4385	0.07131	0.07798
6.5669	0.09351	0.10683
6.5697	0.09394	0.10758
6.6815	0.10945	0.13356
6.6953	0.11195	0.13569
6.7677	0.12699	0.14429
6.8817	0.13568	0.15132
6.8957	0.13563	0.15142
7.0114	0.12963	0.13525
7.0297	0.12698	0.13152
7.0753	0.10632	0.12268
7.1476	0.09311	0.10632
7.1983	0.0845	0.08767
7.2478	0.07229	0.06747
7.2994	0.05433	0.05069
7.3843	0.0263	0.02531
7.4005	0.02284	0.01991
7.4584	0.01719	-0.00209
7.4838	0.01539	-0.01042
7.5204	-0.00444	-0.02163
7.5595	-0.02797	-0.03358
7.6026	-0.04494	-0.04769
7.6317	-0.05266	-0.05589
7.7388	-0.07387	-0.0809
7.7614	-0.07891	-0.08607
7.8659	-0.10363	-0.10839
7.9055	-0.11036	-0.11493
8.0203	-0.11887	-0.12898
8.1497	-0.1177	-0.13594
8.2185	-0.11604	-0.13518
8.3356	-0.11364	-0.12826
8.4218	-0.10533	-0.1202
8.4351	-0.10448	-0.11883
8.5344	-0.10118	-0.1076
8.622	-0.08585	-0.09529
8.6423	-0.08218	-0.09143
8.6874	-0.07521	-0.07804
8.7593	-0.06235	-0.05846
8.7682	-0.05975	-0.05573
8.8214	-0.03363	-0.03681
8.8488	-0.02172	-0.02681
8.9027	-0.00339	-0.01029
8.9067	-0.00215	-0.00873
8.9742	0.01706	0.02029
9.0207	0.02933	0.03627
9.055	0.03814	0.04508
9.1491	0.0595	0.06528
9.1775	0.06383	0.0713
9.2441	0.07152	0.08621
9.3059	0.08205	0.10147
9.361	0.093	0.11608
9.4343	0.10785	0.13164
9.4491	0.11065	0.1342
9.5861	0.12853	0.15266
9.6344	0.12708	0.15656
9.707	0.11851	0.15357
9.7494	0.11457	0.14475
9.8214	0.10869	0.12977
9.8849	0.09546	0.11746
9.8935	0.09372	0.11588
9.9842	0.07657	0.09793
10.021	0.06901	0.08674
10.0661	0.0586	0.07148
10.139	0.03975	0.04586
10.1678	0.03191	0.03209
10.212	0.01974	0.01197
10.2689	0.00173	-0.00847
10.312	-0.0153	-0.02243
10.3269	-0.01823	-0.02714
10.428	-0.03627	-0.05732
10.4844	-0.04754	-0.07198
10.5434	-0.06394	-0.08749
10.5934	-0.07647	-0.10182
10.6588	-0.08541	-0.11898
10.7586	-0.09406	-0.13788
10.8602	-0.0988	-0.14654
10.883	-0.09962	-0.14709
11.06	-0.10719	-0.14077
11.1324	-0.10962	-0.13475
11.1904	-0.10873	-0.12879
11.3182	-0.09612	-0.10983
11.3345	-0.09386	-0.10659
11.4426	-0.07632	-0.07899
11.4695	-0.07072	-0.0694
11.4874	-0.05998	-0.06219
11.5176	-0.05112	-0.04949
11.5592	-0.04263	-0.03358
11.6029	-0.03569	-0.01801
11.6605	-0.02588	0.00215
11.6883	-0.01986	0.01216
11.7879	0.00408	0.04365
11.7888	0.00429	0.04386
11.9316	0.03446	0.07137
11.945	0.03686	0.07381
12.003	0.04757	0.08484
12.0877	0.06817	0.10267
12.1313	0.07774	0.1122
12.2592	0.09952	0.13152
12.2696	0.10115	0.13245
12.3687	0.11189	0.13805
12.5028	0.11436	0.13807
12.5403	0.11436	0.13536
12.6306	0.10691	0.11518
12.6326	0.10658	0.11458
12.758	0.08457	0.07716
12.7909	0.07903	0.06821
12.8777	0.06495	0.04622
12.9493	0.05147	0.02803
12.9931	0.04047	0.01605
13.0647	0.01998	-0.00591
13.0942	0.01259	-0.01544
13.1801	-0.0102	-0.04244
13.1953	-0.01512	-0.04693
13.3107	-0.0535	-0.07842
13.339	-0.06137	-0.0855
13.4404	-0.08279	-0.10729
13.4831	-0.09024	-0.11498
13.5119	-0.09549	-0.11985
13.6131	-0.10513	-0.13485
13.7385	-0.1129	-0.14189
13.7704	-0.11386	-0.14111
13.9142	-0.1116	-0.13224
14.0426	-0.10207	-0.11907
14.1144	-0.09461	-0.10863
14.1709	-0.08726	-0.08736
14.2159	-0.07993	-0.07482
14.2697	-0.06895	-0.06257
14.3237	-0.05514	-0.04912
14.3566	-0.04494	-0.03911
14.3596	-0.0444	-0.03811
14.4419	-0.03235	-0.00763
14.4568	-0.02993	-0.00185
14.5273	-0.01748	0.02254
14.6139	-0.00108	0.04466
14.6556	0.00789	0.05402
14.6567	0.00811	0.05425
14.7984	0.03675	0.08288
14.7994	0.03696	0.08306
14.8698	0.05125	0.09599
14.9421	0.06713	0.11414
15.0125	0.08334	0.12616
15.0849	0.09467	0.13408
15.2415	0.10787	0.14452
15.295	0.11091	0.13821
15.2956	0.11094	0.13795
15.3426	0.11172	0.12446
15.3949	0.11291	0.11341
15.4401	0.11093	0.1051
15.5584	0.0931	0.08285
15.5761	0.09027	0.07868
15.6595	0.07921	0.05267
15.703	0.0729	0.03878
15.7605	0.05965	0.02249
15.7939	0.04728	0.01376
15.8759	0.01257	-0.009
15.876	0.01257	-0.00901
15.9627	-0.00604	-0.04049
16.0195	-0.01819	-0.05654
16.0781	-0.03735	-0.07067
16.1206	-0.04968	-0.08042
16.2078	-0.06605	-0.09953
16.279	-0.07855	-0.11407
16.3662	-0.09663	-0.1284
16.3798	-0.09823	-0.13016
16.5672	-0.11207	-0.13891
16.6527	-0.1153	-0.13558
16.8392	-0.10987	-0.11924
16.8904	-0.10483	-0.1124
17.0434	-0.08526	-0.08335
17.1155	-0.07426	-0.062
17.1421	-0.06963	-0.05195
17.1784	-0.05856	-0.03771
17.2103	-0.04316	-0.02519
17.2137	-0.04238	-0.02385
17.2952	-0.02653	0.00668
17.3674	-0.013	0.03041
17.3949	-0.00718	0.03817
17.4672	0.0093	0.0552
17.5233	0.01968	0.06702
17.6243	0.03816	0.08859
17.6945	0.0527	0.10506
17.7671	0.06701	0.12345
17.8372	0.07624	0.13392
17.8618	0.08025	0.13609
17.9427	0.09843	0.14087
18.0808	0.10554	0.14309
18.1141	0.10669	0.1418
18.1858	0.10973	0.13065
18.2404	0.11034	0.1166
18.2495	0.10999	0.11382
18.3258	0.10102	0.0906
18.3673	0.09428	0.07963
18.4412	0.08325	0.06042
18.5124	0.07279	0.03873
18.5423	0.06802	0.02894
18.6031	0.0546	0.00952
18.6424	0.03811	-0.00229
18.6434	0.03792	-0.00255
18.7212	0.02567	-0.02511
18.7435	0.00662	-0.03241
18.7444	0.00629	-0.03273
18.8023	-0.00856	-0.05504
18.8733	-0.02355	-0.07192
18.932	-0.03686	-0.08522
19.003	-0.05373	-0.10239
19.0617	-0.06669	-0.11408
19.147	-0.0826	-0.12658
19.2773	-0.10116	-0.13771
19.3627	-0.10885	-0.13844
19.4655	-0.11214	-0.13386
19.5782	-0.10919	-0.1246
19.6095	-0.10742	-0.12054
19.764	-0.0942	-0.09706
19.8438	-0.08346	-0.07983
19.8706	-0.07763	-0.07107
19.9065	-0.06198	-0.05683
19.9422	-0.05344	-0.04215
19.9782	-0.04745	-0.03306
19.9965	-0.04463	-0.02971
